"VALUE,N,9,0","CLASS_NAME,C,32","RED,N,19,11","GREEN,N,19,11","BLUE,N,19,11","OPACITY,N,19,11"
220,Plums,1,0.5568627451,0.6666666667,1
221,Strawberries,1,0.4,0.4,1
222,Squash,1,0.4,0.4,1
223,Apricots,1,0.5568627451,0.6666666667,1
224,Vetch,0,0.6862745098,0.2980392157,1
225,Dbl Crop WinWht/Corn,1,0.8274509804,0,1
226,Dbl Crop Oats/Corn,1,0.8274509804,0,1
227,Lettuce,1,0.4,0.4,1
228,,0,0,0,1
229,Pumpkins,1,0.4,0.4,1
230,Dbl Crop Lettuce/Durum Wht,0.537254902,0.3882352941,0.3294117647,1
231,Dbl Crop Lettuce/Cantaloupe,1,0.4,0.4,1
232,Dbl Crop Lettuce/Cotton,1,0.1490196078,0.1490196078,1
233,Dbl Crop Lettuce/Barley,0.8862745098,0,0.4862745098,1
234,Dbl Crop Durum Wht/Sorghum,1,0.6196078431,0.0470588235,1
235,Dbl Crop Barley/Sorghum,1,0.6196078431,0.0470588235,1
236,Dbl Crop WinWht/Sorghum,0.6470588235,0.4392156863,0,1
237,Dbl Crop Barley/Corn,1,0.8274509804,0,1
238,Dbl Crop WinWht/Cotton,0.6470588235,0.4392156863,0,1
239,Dbl Crop Soybeans/Cotton,0.1490196078,0.4392156863,0,1
240,Dbl Crop Soybeans/Oats,0.1490196078,0.4392156863,0,1
241,Dbl Crop Corn/Soybeans,1,0.8274509804,0,1
242,Blueberries,0,0,0.6,1
243,Cabbage,1,0.4,0.4,1
244,Cauliflower,1,0.4,0.4,1
245,Celery,1,0.4,0.4,1
246,Radishes,1,0.4,0.4,1
247,Turnips,1,0.4,0.4,1
248,Eggplants,1,0.4,0.4,1
249,Gourds,1,0.4,0.4,1
250,Cranberries,1,0.4,0.4,1
251,,1,0.8274509804,0,1
252,,0.1490196078,0.4392156863,0,1
253,,0.6470588235,0.4392156863,0,1
254,Dbl Crop Barley/Soybeans,0.1490196078,0.4392156863,0,1
